日付,機種名,台番,累計ゲーム数,BIG回数,REG回数,推測差枚,REG確率,最有力設定,設定1(%),設定2(%),設定3(%),設定4(%),設定V(%)
2026-07-05,SBニューキングハナハナV-30,336,7668,26,21,11,365,設定1,33.9,19.7,18.7,14.3,13.3
2026-07-05,SBニューキングハナハナV-30,337,1571,5,4,-138,392,設定1,44.3,20.3,15.5,10.2,9.6
2026-07-05,SBニューキングハナハナV-30,338,3641,16,7,759,520,設定1,42.8,20.4,16.1,10.9,9.8
2026-07-05,SBニューキングハナハナV-30,339,3949,7,8,-2353,493,設定1,58.3,21.6,12.2,5.2,2.6
2026-07-05,SBニューキングハナハナV-30,340,2882,12,4,193,720,設定1,49.5,21.1,14.6,8.4,6.4
2026-07-05,SBニューキングハナハナV-30,341,1073,4,1,-137,1073,設定1,49.2,20.7,14.4,8.6,7.2
2026-07-05,SBニューキングハナハナV-30,342,5400,21,11,355,490,設定1,44.7,21.2,16.2,10.1,7.8
2026-07-05,SBニューキングハナハナV-30,343,1422,4,3,-370,474,設定1,47.4,20.7,14.9,9.1,7.9
2026-07-05,SBニューキングハナハナV-30,344,3020,7,2,-1821,1510,設定1,63.5,20.7,10.2,3.8,1.7
2026-07-05,SBニューキングハナハナV-30,345,2821,7,7,-890,403,設定1,48.0,21.1,15.1,8.9,6.9
2026-07-05,SBニューキングハナハナV-30,346,2459,7,6,-509,409,設定1,46.3,20.8,15.4,9.5,8.0
2026-07-05,SBニューキングハナハナV-30,347,3913,18,6,869,652,設定1,46.2,20.9,15.5,9.6,7.8
2026-07-05,SBニューキングハナハナV-30,348,2536,8,8,-45,317,設定1,38.8,19.6,16.6,12.2,12.8
2026-07-05,SBニューキングハナハナV-30,349,8548,31,19,68,449,設定1,43.3,21.8,17.3,10.5,7.1
2026-07-05,SBニューキングハナハナV-30,350,2357,9,2,-261,1178,設定1,53.9,21.2,13.3,6.9,4.7
2026-07-05,SBニューキングハナハナV-30,351,5827,29,15,2767,388,設定V,22.2,14.8,17.3,18.5,27.2
2026-07-05,SBニューキングハナハナV-30,352,1896,9,2,390,948,設定1,48.0,20.7,14.7,9.0,7.5
2026-07-05,SBニューキングハナハナV-30,353,2197,6,4,-711,549,設定1,50.9,21.2,14.2,7.9,5.8
2026-07-05,SBニューキングハナハナV-30,354,1700,4,3,-763,566,設定1,51.1,21.1,14.1,7.8,5.9
2026-07-05,SBニューキングハナハナV-30,355,4834,19,12,660,402,設定1,37.2,19.7,17.4,13.0,12.8
2026-07-05,SBニューキングハナハナV-30,356,1219,5,1,-31,1219,設定1,49.3,20.7,14.4,8.5,7.1
2026-07-05,SBニューキングハナハナV-30,357,8065,36,27,3350,298,設定V,7.3,7.0,12.5,21.3,51.9
2026-07-05,SBニューキングハナハナV-30,358,780,0,1,-971,780,設定1,52.3,20.9,13.6,7.4,5.7
2026-07-05,SBニューキングハナハナV-30,359,4667,13,14,-715,333,設定1,39.4,20.3,17.2,12.0,11.0
2026-07-05,SBニューキングハナハナV-30,360,3944,14,8,-162,493,設定1,47.3,21.2,15.4,9.1,7.0
2026-07-05,SBニューキングハナハナV-30,361,4483,13,14,-455,320,設定1,36.8,19.7,17.5,13.0,13.0
2026-07-05,SBニューキングハナハナV-30,362,1873,5,4,-565,468,設定1,48.5,20.9,14.7,8.7,7.1
2026-07-05,SBニューキングハナハナV-30,363,4000,17,6,434,666,設定1,49.1,21.3,14.9,8.5,6.3
2026-07-05,SBニューキングハナハナV-30,364,4157,16,14,940,296,設定1,26.2,16.2,17.5,16.9,23.2
2026-07-05,SBニューキングハナハナV-30,365,4070,12,9,-834,452,設定1,49.3,21.5,15.0,8.3,5.9
2026-07-03,SBニューキングハナハナV-30,336,3194,12,7,142,456,設定1,44.0,20.6,15.9,10.4,9.1
2026-07-03,SBニューキングハナハナV-30,337,1839,6,3,-335,613,設定1,49.4,20.9,14.5,8.4,6.7
2026-07-03,SBニューキングハナハナV-30,338,845,4,0,54,0,設定1,49.3,20.6,14.3,8.5,7.2
2026-07-03,SBニューキングハナハナV-30,339,4173,12,9,-979,463,設定1,50.6,21.6,14.7,7.9,5.3
2026-07-03,SBニューキングハナハナV-30,340,711,1,2,-432,355,設定1,46.4,20.4,14.9,9.5,8.7
2026-07-03,SBニューキングハナハナV-30,341,8017,38,13,2222,616,設定1,42.9,21.3,16.9,10.9,8.0
2026-07-03,SBニューキングハナハナV-30,342,448,1,0,-320,0,設定1,49.4,20.6,14.2,8.5,7.3
2026-07-03,SBニューキングハナハナV-30,343,2383,10,4,274,595,設定1,46.4,20.7,15.2,9.5,8.2
2026-07-03,SBニューキングハナハナV-30,344,567,1,0,-488,0,設定1,50.9,20.8,13.9,7.9,6.5
2026-07-03,SBニューキングハナハナV-30,345,3248,8,5,-1441,649,設定1,57.2,21.4,12.5,5.6,3.2
2026-07-03,SBニューキングハナハナV-30,346,2742,6,8,-960,342,設定1,45.5,20.9,15.7,9.7,8.2
2026-07-03,SBニューキングハナハナV-30,347,1616,6,1,-280,1616,設定1,52.7,21.0,13.6,7.3,5.4
2026-07-03,SBニューキングハナハナV-30,348,3471,11,8,-430,433,設定1,46.4,21.0,15.6,9.5,7.6
2026-07-03,SBニューキングハナハナV-30,349,981,0,2,-1125,490,設定1,51.8,21.0,13.8,7.6,5.8
2026-07-03,SBニューキングハナハナV-30,350,6274,29,14,2006,448,設定1,31.9,18.4,18.0,15.1,16.5
2026-07-03,SBニューキングハナハナV-30,351,2944,7,2,-1714,1472,設定1,62.9,20.8,10.5,4.0,1.8
2026-07-03,SBニューキングハナハナV-30,352,2235,6,7,-374,319,設定1,41.7,20.1,16.2,11.1,10.8
2026-07-03,SBニューキングハナハナV-30,353,3090,10,8,-204,386,設定1,42.9,20.5,16.1,10.7,9.7
2026-07-03,SBニューキングハナハナV-30,354,1086,1,4,-701,271,設定1,45.0,20.4,15.4,10.0,9.3
2026-07-03,SBニューキングハナハナV-30,355,6771,29,18,1824,376,設定1,25.6,16.5,18.2,17.5,22.1
2026-07-03,SBニューキングハナハナV-30,356,3528,14,14,1205,252,設定V,21.1,14.0,16.6,18.2,30.0
2026-07-03,SBニューキングハナハナV-30,357,2444,8,7,-45,349,設定1,40.9,20.0,16.3,11.5,11.4
2026-07-03,SBニューキングハナハナV-30,358,1451,6,1,-47,1451,設定1,50.6,20.9,14.1,8.0,6.4
2026-07-03,SBニューキングハナハナV-30,359,3162,13,8,629,395,設定1,38.2,19.5,16.8,12.5,13.0
2026-07-03,SBニューキングハナハナV-30,360,3103,4,10,-1834,310,設定1,47.5,21.3,15.4,8.9,6.9
2026-07-03,SBニューキングハナハナV-30,361,3670,10,12,-503,305,設定1,37.7,19.7,17.2,12.7,12.8
2026-07-03,SBニューキングハナハナV-30,362,1515,9,1,798,1515,設定1,46.1,20.4,15.0,9.7,8.8
2026-07-03,SBニューキングハナハナV-30,363,2908,10,6,-207,484,設定1,47.0,21.0,15.3,9.3,7.5
2026-07-03,SBニューキングハナハナV-30,364,4947,13,18,-591,274,設定1,29.8,17.9,18.2,15.7,18.4
2026-07-03,SBニューキングハナハナV-30,365,2914,12,8,668,364,設定1,36.5,19.0,16.9,13.1,14.5
2026-07-02,SBニューキングハナハナV-30,336,3816,8,7,-1983,545,設定1,58.1,21.6,12.3,5.3,2.8
2026-07-02,SBニューキングハナハナV-30,337,3259,12,10,440,325,設定1,34.6,18.7,17.2,13.8,15.7
2026-07-02,SBニューキングハナハナV-30,338,1104,8,2,1196,552,設定1,38.6,19.0,16.0,12.3,14.1
2026-07-02,SBニューキングハナハナV-30,339,6984,25,8,-1024,873,設定1,64.1,21.1,10.2,3.4,1.2
